Título,URL,Descrição,Palavras-chave,Habilidade(s) - BNCC,Tipos de Mídias,Disciplina,Temas Curriculares,Temas Transversais,"Etapas, anos e modalidades",Licenças de Uso,Idioma,Acessibilidade,Conectividade,Oferecido por,Produzido por,Etnias indígenas,Anos escolar,ID (não editar)
North Korea x South Korea in figures,http://www.theguardian.com/world/datablog/interactive/2013/apr/09/north-korea-south-korea-interactive,"Dados das duas Coreias, a do Sul e a do Norte, são comparados neste infográfico interativo.",South Korea; North Korea; reading comprehension,"EF06LI07, EF06LI08, EF06LI09, EF07LI10",,Lingua inglesa,,,,copyright,inglês,,Online,,The Guadian,,,54b97ec769702d65e2830800
StoneAge Sam 2 The Ice Age,http://www.2dplay.com/stoneage-sam-2-the-ice-age/stoneage-sam-2-the-ice-age-play.htm,"Neste jogo, o jogador deve enfrentar as adversidades de uma vida na região polar.",game; stone age,"EF06LI08, EF06LI09",game,Lingua inglesa,,,,,inglês,Acessível para baixa visão,Online,,,,,54b97ec969702d65e2850800
Periodic table of the elements,https://itunes.apple.com/us/app/k12-periodic-table-of-the-elements/id480742053?mt=8,"Tabela periódica interativa. Usuário pode abrir cada um dos elementos e acessar a ficha de informação, com características e peculiaridades dos elementos.",periodic table,"EF06LI08, EF06LI09",aplicativo,Lingua inglesa,,,,© 2015 K12 Inc.,inglês,Acessível para deficiência intelectual,Online,,Kevin Neelands,,,54b97eca69702d65e2870800
The power within a hurricane,http://www.emergency-response-planning.com/news/bid/43979/INFOGRAPHIC-Power-Within-a-Hurricane,"Quão poderosos são os furacões. Você saberia reponder? Neste infográfico, o fenômeno natural é explicado, e classificado em diferentes categorias.",infographic; hurricane; reading comprehension,"EF06LI07, EF06LI08, EF06LI09, EF06LI11",,Lingua inglesa,,,,,inglês,,Online,,WellHome,,,54b97ed169702d65e2910800
Spore,http://www.spore.com/,"O jogador tem o objetivo ambicioso de criar um ser microscópico e guiá-lo pelos cinco estágios de sua evolução, até que ele se torne um conquistador do espaço.",game; reading instructions,EF07LI07,jogo,Lingua inglesa,,,,copyright,inglês,,Offline (download),,Eletronic Arts,,,54b97ed269702d65e2920800
2009: the year in review,http://www.theguardian.com/world/interactive/2009/dec/24/end-of-year-review,"Uma retrospectiva de 2009, sob o olhar do jornal “The Guardian”, em um calendário interativo.",reading comprehension,"EF07LI15, EF07LI10, EF07LI07",,Lingua inglesa,,,,coyright,inglês,,Online,,The Guardian,,,54b97ed369702d65e2930800
10 world biggest holes created by human and nature,http://www.youtube.com/watch?v=g7Wh4-lxlKE,"As 10 maiores crateras da Terra até 2011 são reunidas neste vídeo, com imagens e textos.",,EF06LI11,vídeo,Lingua inglesa,,,,,inglês,,Online,,Human and Nature!,,,54b97ed669702d65e2970800
How NASA’s communications satellite net works,http://www.space.com/19557-nasa-tdrs-communications-satellites-infographic.html,Como a comunicação dos satélites da NASA funciona? Uma nova tecnologia é mostrada neste infográfico.,infographics; NASA; science; space technology,"EF06LI08, EF06LI09, EF07LI09, EF07LI10",,Lingua inglesa,,,,,inglês,Acessível para baixa visão,Online,,SPACE.com,,,54b97ed969702d65e29a0800
"Papers, please",http://dukope.com/,O jogador atua como um oficial de imigração decidindo quem entra ou não no país. Não é fácil lidar como o drama de ter de recusar a entrada de refugiados ou autorizar pessoas claramente suspeitas.,game; immigration; reading comprehension; discussion,"EF06LI09, EF06LI11, EF06LI12",jogo,Lingua inglesa,,,,copyright,inglês,,Online,,Lucas Pope,,,54b97eda69702d65e29c0800
Word search multilanguage,https://play.google.com/store/apps/details?id=com.berniiiiiiii.random,"Um jogo de caça-palavras em inglês, espanhol, francês, alemão, italiano e português.",word search; vocabulary,EF06LI11,jogo,Lingua inglesa,,,,copyright,inglês,,Online,,Berni Mobile,,,54b97edf69702d65e2a10800
GoSkyWatch Planetarium,https://itunes.apple.com/us/app/goskywatch-planetarium-for/id364209241?mt=8,"Funciona como um planetário no dispositivo móvel, e permite ao usuário identificar e localizar no espaço estrelas, planetas, constelações.",stars; planets; sky; astronomy,"EF07LI10, EF06LI24, EF06LI11
",aplicativo,Lingua inglesa,,,,copyright,inglês,,Online,,GoSoftWorks,,,54b97ee769702d65e2ad0800
Babbel,https://pt.babbel.com/?locale=pt,"Aplicativo para o estudo de diversas línguas, como inglês e espanhol. Versões Android, iOS, Windows Phone e Windows 8.",app; learn English; practice,EF06LI11,aplicativo,Lingua inglesa,,,,copyright,,,Online,,Lesson Nine GmbH,,,54b97eeb69702d65e2b40800
Threads of Mystery,https://www.facebook.com/appcenter/threads-of-mystery?fb_source=appcenter,O jogador tem como missão desvendar um mistério em Paris para que possa reconstruir uma casa abandonada e livrá-la de assombrações.,game; mystery,"EF06LI09, EF06LI11",jogo,Lingua inglesa,,,,,inglês,,Online,,Playdom,,,54b97ef269702d65e2bc0800
Molecules,https://itunes.apple.com/us/app/molecules/id284943090?mt=8,Aplicativo mostra moléculas do DNA e permite a manipulação dessas moléculas.,sciences; molecules,"EF06LI11, EF06LI08",aplicativo,Lingua inglesa,,,,copyright,inglês,Acessível para deficiência visual,Online,,Sunset Lake Software,,,54b97ef969702d65e2c50800
11+ Maths – learn & test lite,https://itunes.apple.com/us/app/11+-maths-learn-test-lite/id504127395?mt=8,Testes de matemática interativos e lúdicos.,maths,"EF06LI07, EF06LI08, EF06LI09, EF06LI11",aplicativo,Lingua inglesa,,,,copyright,inglês; há também a versão em português,Acessível para deficiência visual,Online,,Sangeetha Bhatt,,,54b97efb69702d65e2c90800
How big is the ocean?,http://ed.ted.com/lessons/how-big-is-the-ocean-scott-gass,"Em animação do TEDx Lesson, Scott Gass lembra da influência do mar sobre os seres humanos.",ocean; earth; listening,"EF07LI10, EF07LI04, EF07LI03",vídeo,Lingua inglesa,,,,CC BY -- NC -- ND 4.0 International,inglês,legendas em inglês e português,Online,,TED.com,,,54b97f0669702d65e2d90800
Romanius 2,http://www.2dplay.com/romanius-2/romanius-2-play.htm,"O jogador assume o papel de um soldado romano que, numa jornada para vingar a morte do irmão, enfrenta exércitos inimigos e precisa encontrar a melhor forma de combatê-los com as armas rudimentares que dispõe.",game; ancient Rome history; simple past,"EF07LI10, EF07LI04, EF07LI03, EF07LI15",jogo,Lingua inglesa,,,,copyright,inglês,Legendas em inglês,Online/Offline (download),,2DPlay,,,54b97f0b69702d65e2e10800
Freeciv,http://play.freeciv.org/,"Freeciv é um jogo de estratégia em código aberto em que o jogador deverá administrar a economia, a política (interna e externa), o exército, etc. E garantir a superioridade de sua nação.",game; history; civilizations; past tense,"EF07LI10, EF07LI04, EF07LI03, EF07LI15",jogo,Lingua inglesa,,,,CC BY-NC,inglês,,Offline (download),,Freeciv; GNU General Public License,,,54b97f0d69702d65e2e50800
A look back at Stanley Kubrick’s “2001: A Space Odyssey”,http://www.space.com/20482-2001-space-odyssey-infographic.html,"Infográfico explora personagens e cenas de “2001: Uma Odisseia no Espaço”, filme mais famoso de Stanley Kubrick.",2001 Odyssey; infographic; reading comprehension; science fiction,"EF08LI06, EF08LI07, EF08LI08, EF08LI18",,Lingua inglesa,,,,,inglês,Acessível para baixa visão,Online,,,,,54b97f0e69702d65e2e60800
ScienceHouse,https://itunes.apple.com/us/app/videoscience/id333284085?mt=8,"Oitenta experiências científicas em vídeo estão nesse aplicativo, que tem como proposta inspirar crianças a estudar ciências.",sciences; experiments,"EF09LI18, EF09LI04, EF09LI02,",aplicativo,Lingua inglesa,,,,copyright,inglês,,Online,,Object Enterprises,,,54b97f1469702d65e2f00800
iTranslate Voice,https://itunes.apple.com/br/app/itranslate-voice/id522626820?mt=8,"Realiza a tradução instantânea de idiomas em áudio. Inclui inglês, espanhol, alemão e francês.",online dictionary; translator,"EF06LI10, EF06LI11",aplicativo,Lingua inglesa,,,,copyright,"Português, Alemão, Bokmål, norueguês, Chinês simplificado, Chinês tradicional, Coreano, Dinamarquês, Espanhol, Finlandês, Francês, Grego, Hindi, Holandês, Indonésio, Inglês, Italiano, Japonês, Malaio, Polonês, Russo, Sueco, Tailandês, Turco, Árabe",,Online,,Sonico GmbH,,,54b97f2d69702d65e20f0900
Scale of devastation,http://www.informationisbeautiful.net/visualizations/scale-of-devastation/,"Infográfico oferece uma visualização, representada por cubos, de grandes tragédias naturais e de imensos acidentes causados por empresas.",devastation; infographic,"EF06LI08, EF06LI09, EF06LI11",,Lingua inglesa,,,,CC BY-NC-ND,inglês,Acessível para baixa visão,Online,,Research : David McCandless & Miriam Quick; Design: David McCandless,,,54b97f3a69702d65e2200900
Dicionário Michaelis Português e Inglês,https://play.google.com/store/apps/details?id=com.aandhsoftware.michaelis.modern.bilingual,"Um dos mais conceituados dicionários da língua portuguesa, em versão aplicativo, com mais de um milhão de definições.",bilingual dictionary; dicionário bilingue,"EF06LI10, EF06LI11, EF06LI18",aplicativo,Lingua inglesa,,,,Copyright,inglês-português,consulta por voz,Online/Offline (download),,A&H Software Ltda.,,,54b97f3d69702d65e2240900
Atomic mass calculating device HD,https://itunes.apple.com/gb/app/the-atomic-mass-calculator/id399550195?mt=8,Aplicativo que auxilia no cálculo da massa de uma molécula.,sciences; molecule; periodic table,"EF06LI11, EF06LI08",aplicativo,Lingua inglesa,,,,copyright,inglês,Acessível para deficiência intelectual,Online,,Amy Faulkner,,,54b97f4369702d65e22d0900
How to observe the moon,http://www.space.com/17702-how-observe-moon-skywatching-infographic.html,Um infográfico que se propõe a explicar como a lua deve ser observada.,sciences; moon; infographic; reading comprehension; simple past,"EF06LI08, EF06LI09, EF07LI07, EF07LI09",,Lingua inglesa,,,,,inglês,Acessível para baixa visão,Online,,space.com,,,54b97f4b69702d65e2380900
Bob Dylan’s world,http://www.slate.com/articles/arts/map_of_the_week/2013/05/bob_dylan_map_every_place_mentioned_in_a_bob_dylan_song.html,Mapa geolocaliza cidades onde Bob Dylan cantou ao longo da vida. Interessante para inspirar iniciativas de uso dos mapas em temas relacionados à música.,music; Bob Dylan; songs,"EF08LI07, EF08LI08, EF08LI18",,Lingua inglesa,,,,CC BY-NC-ND,inglês,,Online,,Slate Megazine,,,54b97fa169702d65e28e0900
Britannica Kids: Ancient Rome,https://itunes.apple.com/br/app/britannica-kids-ancient-rome/id424128583?mt=8,"Uma abordagem lúdica e interativa, voltada ao público infantil, sobre o Império Romano. Produzido pela renomada Encyclopaedia Britannica.",history; ancient Rome; simple past,"EF07LI07, EF07LI08, EF07LI09, EF07LI10",aplicativo,Lingua inglesa,,,,copyright,inglês,,Online,,Encyclopædia Britannica,,,54b97faa69702d65e29b0900
"Titan, Saturn’s largest moon, explained",http://www.space.com/19183-titan-saturn-largest-moon-infographic.html,Já ouviu falar sobre Titan? A maior lua de Saturno? Este infográfico conta a história.,science; infographic; Saturn; Titan,"EF06LI08, EF06LI09, EF06LI11, EF06LI12",,Lingua inglesa,,,,,inglês,Acessível para baixa visão,Online,,space.com,,,54b97fab69702d65e29c0900
English Way DVD 08,https://www.youtube.com/watch?v=Trh93VQzOgM,"O curso de inglês English Way em DVDs lançado pela Editora Abril em 2009 ensina a língua por meio de uma sitcom. Os episódios acompanham Elena, uma estudante estrangeira que vai estudar inglês em em Londres, e sua relação com sua anfitriã, Agatha, e seu irmão Victor. Os episódios duram cerca de 3 minutos e, ao final, há a explicação de algumas estruturas usadas nas interações. O DVD 08 traz 3 episódios que envolvem locais turísticos em Londres e como chegar lá; viagens; pedir e oferecer comida num restaurante. Ao final de cada episódio, há uma explicação sobre as estruturas usadas nas interações, por exemplo, o uso de verbos modais para pedir e dar informação sobre como chegar a determinado lugar, dar conselhos, desculpar-se e falar de habilidade; sufixos formadores de substantivos; como descrever pessoas e como falar sobre eventos passados.",video; watching comprehension; simple past; sightseeing; directions; describing someone,"EF07LI04, EF07LI15, EF07LI16, EF07LI18",vídeo,Lingua inglesa,,,,,inglês,legendas em inglês,Online,,Editora Abril,,,54b9878569702d77f7430000
English Way DVD 06,https://www.youtube.com/watch?v=VJgI9v6Wi5k,"O curso de inglês English Way em DVDs lançado pela Editora Abril em 2009 ensina a língua por meio de uma sitcom. Os episódios acompanham Elena, uma estudante estrangeira que vai estudar inglês em em Londres, e sua relação com sua anfitriã, Agatha, e seu irmão Victor. Os episódios duram cerca de 3 minutos e, ao final, há a explicação de algumas estruturas usadas nas interações. O DVD 06 traz 3 episódios que envolvem planos para o futuro; problemas de saúde e o que fazer a respeito; características pessoais e profissões. Ao final de cada episódio, há uma explicação sobre as estruturas usadas nas interações, por exemplo, o uso de comparativo e superlativo; substantivos contáveis e incontávies; adjetivos para descrever pessoas; tipos de filmes; partes do corpo; doenças; substantivos compostos; advérbios de frequência; presente contínuo; datas.",video; watching comprehension; describing someone; dates; frequency adverbs; future plans; present continuous; health problems; jobs; countable and uncountable nouns; compound nouns,"EF08LI04, EF08LI02, EF08LI12, EF08LI15",vídeo,Lingua inglesa,,,,,inglês,legendas em inglês,Online,,Editora Abril,,,54b9878669702d77f7440000
English Way DVD 07,https://www.youtube.com/watch?v=ohW0u58h6JY,"O curso de inglês English Way em DVDs lançado pela Editora Abril em 2009 ensina a língua por meio de uma sitcom. Os episódios acompanham Elena, uma estudante estrangeira que vai estudar inglês em em Londres, e sua relação com sua anfitriã, Agatha, e seu irmão Victor. Os episódios duram cerca de 3 minutos e, ao final, há a explicação de algumas estruturas usadas nas interações. O DVD 07 traz 3 episódios que envolvem lojas, compras, viagens de trem, resrvas em hotel, sugestões e conselhos. Ao final de cada episódio, há uma explicação sobre as estruturas usadas nas interações, por exemplo, como pedir informação sobre departamentos em uma loja; o uso de ""will""; o uso do sufixo 'ing' e o conceito e uso de phrasal verbs.",video; watching comprehension; shopping; traveling; will; gerund; phrasal verbs,"EF08LI02, EF08LI12, EF08LI13",vídeo,Lingua inglesa,,,,,inglês,legendas em inglês,Online,,Editora Abril,,,54b9878769702d77f7450000
English Way DVD 09,https://www.youtube.com/watch?v=RyFdn94-GI8,"O curso de inglês English Way em DVDs lançado pela Editora Abril em 2009 ensina a língua por meio de uma sitcom. Os episódios acompanham Elena, uma estudante estrangeira que vai estudar inglês em em Londres, e sua relação com sua anfitriã, Agatha, e seu irmão Victor. Os episódios duram cerca de 3 minutos e, ao final, há a explicação de algumas estruturas usadas nas interações. O DVD 09 traz 3 episódios que envolvem planos futuros, tarefas domésticas e bem-estar físico. Ao final de cada episódio, há uma explicação sobre as estruturas usadas nas interações, por exemplo, o uso de ""going to"" e ""will"" para falar do futuro; o uso de verbos modais para sugestões e obrigações; vocabulário relacionado a alimentação e exercícios físicos.",video; watching comprehension; going to; will; household chores; modal verbs; food,"EF09LI16, EF08LI20, EF08LI14",vídeo,Lingua inglesa,,,,,inglês,legendas em inglês,Online,,Editora Abril,,,54b9878869702d77f7460000
Let it Glow,http://www.coolmath-games.com/0-let-it-glow,Jogo em que o aluno deverá posicionar os condutores de campos para permitir a passagem de eletricidade entre a fonte de energia e a(s) lâmpada(s).,game; energy; electric current; intructions; reading comprehension,"EF06LI08, EF06LI11, EF06LI17, EF06LI18",jogo,Lingua inglesa,,,,copyright,inglês,,Online,,"Constructive Media, LLC",,,54b987b569702d77f7760000
Countries and Nationalities (with sound) - English Language,https://www.youtube.com/watch?v=Z6cvRmyEUKc,"Vídeo apresenta vocabulário relativo a países e nacionalidades. Traz também frases simples, como ""This is (nome). She/He is from (país). She/He is (nacionalidade). Há a pronúncia das palavras e frases apresentadas.",countries and nationalities,"EF06LI17, EF06LI18",vídeo,Lingua inglesa,,,,,,frases escritas e faladas; legendas em português,,,,,,5511567a69702d1ff30d0000
Grammar disorder,http://www.noas.com.br/ensino-fundamental-2/lingua-inglesa/grammar-disorder/,"Atividade para construir frases em inglês no Present Perfect ordenando os termos fornecidos, para que os verbos principais, os verbos auxiliares, os pronomes e os advérbios sejam colocados na ordem correta. É preciso se inscrever no site para participar.",present perfect; word order; adverbs,"EF07LI19, EF07LI15",jogo,Lingua inglesa,,,,,,,Online,,CNEC Educação,,,55dbdaa769702d529ab86b00
"A horseman in the sky, de Ambrose Bierce",http://www.manythings.org/voa/stories/A_Horseman_in_the_Sky_-_By_Ambrose_Bierce.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""A horseman in the sky"", de Abrose Bierce, publicado em 1889, destaca o impacto destrutivo da guerra em uma família",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4888a69702d1753ad0f00
"An occurrence at owl creek bridge, de Ambrose Bierce",http://www.manythings.org/voa/stories/An_Occurrence_at_Owl_Creek_Bridge_-_By_Ambrose_Bierce.html,"American Stories for English Learners apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""An occurrence at owl creek bridge"" de Ambrose Bierce, publicado em 1890, reconta nos moldes de uma narrativa moldura (uma história dentro da outra) os acontecimentos imediatamente antes e depois do enforcamento de um simpatizante Confederado.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e489dc69702d1757581100
"A princess of Mars (parte 1),  de Edgar Rice Burroughs",http://www.manythings.org/voa/stories/A_Princess_of_Mars_-_By_Edgar_Rice_Burroughs_-__Part_1.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O livro ""A princess of Mars"" (aqui dividido em 4 partes), publicado em 1912, foi o primeiro livro de Edgar Rice Burroughs. O livro é parte de uma trilogia consderada uma das primeiras histórias de ficção científica e conta as aventuras de John Carter, um humano misteriosamente transportado para Marte.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e48b2069702d17575a1100
"A princess of Mars (parte 2), de Edgar Rice Burroughs",http://www.manythings.org/voa/stories/A_Princess_of_Mars_-_By_Edgar_Rice_Burroughs_-__Part_2.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O livro ""A princess of Mars"" (aqui dividido em 4 partes), publicado em 1912, foi o primeiro livro de Edgar Rice Burroughs. O livro é parte de uma trilogia consderada uma das primeiras histórias de ficção científica e conta as aventuras de John Carter, um humano misteriosamente transportado para Marte.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e48bdf69702d1757691100
"A princess of Mars (parte 3), de Edgar Rice Burroughs",http://www.manythings.org/voa/stories/A_Princess_of_Mars_-_By_Edgar_Rice_Burroughs_-__Part_3.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O livro ""A princess of Mars"" (aqui dividido em 4 partes), publicado em 1912, foi o primeiro livro de Edgar Rice Burroughs. O livro é parte de uma trilogia consderada uma das primeiras histórias de ficção científica e conta as aventuras de John Carter, um humano misteriosamente transportado para Marte.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e48c5169702d174f1d1000
"A princess of Mars (parte 4), de Edgar Rice Burroughs",http://www.manythings.org/voa/stories/A_Princess_of_Mars_-_By_Edgar_Rice_Burroughs_-__Part_4.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O livro ""A princess of Mars"" (aqui dividido em 4 partes), publicado em 1912, foi o primeiro livro de Edgar Rice Burroughs. O livro é parte de uma trilogia consderada uma das primeiras histórias de ficção científica e conta as aventuras de John Carter, um humano misteriosamente transportado para Marte.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e48cb769702d174f1f1000
"Pigs is pigs, de Ellis Parker Butler",http://www.manythings.org/voa/stories/Pigs_Is_Pigs_-_by_Ellis_Parker_Butler.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""Pigs is pigs"" de Ellis Parker Butler, publicado em 1905, conta de maneira humorada como a burocracia e a ignorância podem criar problemas que seriam, de outra maneira, facilmente solucionados.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4c26769702d174f3d1000
"Paul's case (parte 1), de Willa Cather",http://www.manythings.org/voa/stories/Paul_s_Case_-_Part_1_-_By_Willa_Cather.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""Paul's case"" (aqui dividido em 2 partes) de Willa Cather, publicado em 1905, conta a história de um aluno do Ensino Médio que tenta se adaptar às normas familiares.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4c30569702d17578f1100
"Paul's case (parte 2), de Willa Cather",http://www.manythings.org/voa/stories/Paul_s_Case_-_Part_2_-_By_Willa_Cather.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""Paul's case"" (aqui dividido em 2 partes) de Willa Cather, publicado em 1905, conta a história de um aluno do Ensino Médio que tenta se adaptar às normas familiares.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4c38f69702d1757911100
"A pair of silk stockings, de Kate Chopin",http://www.manythings.org/voa/stories/A_Pair_of_Silk_Stockings_-_By_Kate_Chopin.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""A pair of silk stockings"" de Kate Chopin, publicado em 1897, conta a história de Mrs Sommers, uma mulher em busca de liberdade e identidade pessoal.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4c41969702d1757931100
"Athenaise, de Kate Chopin",http://www.manythings.org/voa/stories/Athenaise_by_Kate_Chopin.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""Athenaise"" de Kate Chopin, publicado em 1896, traz a história de Athénaïse, uma mulher casada que se sente oprimida pelos limites impostos pela sociedade da época.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4c4bd69702d174f591000
"The open boat, de Stephen Crane",http://www.manythings.org/voa/stories/The_Open_Boat_-_By_Stephen_Crane_-_Part_1.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""The open boat"" de Stephen Crane, publicado em 1897, conta a história (baseada numa experiência real de Crane) de três marinheiros a deriva num bote após seu navio afundar.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4c55269702d1753161000
"The return of a private, de Hamlin Garland",http://www.manythings.org/voa/stories/The_Return_of_a_Private_-_By_Hamlin_Garland.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""The return of a private de Hamlin Garland"", publicado em 1891, conta a história de um soldado que volta ferido para casa após a Guerra Civil Americana e os desafios enfrentados pela sociedade de então.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4c61669702d17531a1000
"Doctor Heidegger's experiment, de Nathaniel Hawthorne",http://www.manythings.org/voa/stories/Doctor_Heideggers_Experiment_-_By_Nathaniel_Hawthorne.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""Doctor Heidegger's experiment"" de Nathaniel Hawthorne, publicado em 1837, conta a história de um médico que diz ter a água da fonte da juventude.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4c74769702d174f821000
"The ambitious guest, de Nathaniel Hawthorne",http://www.manythings.org/voa/stories/The_Ambitious_Guest_-_By_Nathaniel_Hawthorne.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""The ambitious guest"" de Nathaniel Hawthorne, publicado em 1835, conta a história de um jovem viajante quando este se hospeda na casa de uma família que vive numa área com riscos de avalanche.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4c7ed69702d1757a31100
"The birthmark, de Nathaniel Hawthorne",http://www.manythings.org/voa/stories/The_Birthmark_-_By_Nathaniel_Hawthorne.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""The birthmark"" de Nathaniel Hawthorne, publicado em 1843, traz a história da bela Georgiana, que tem uma mancha vermelha de nascença no rosto, em forma de mão, e seu marido, Aylmer, um cientista que acredita na supremacia do homem sobre a natureza.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4c88569702d17532b1000
